package,path,time
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/TableColumnPreview/ColumnDistribution.test.tsx
@kaggle/components,src/datasets/Uploaders/LocalDirectories/Shared/ExistingDirectoryItem/ExistingDirectoryItem.test.tsx
@kaggle/components,src/datasets/List/MaterialView/Body/DatasetListItem/UsabilityRating/usabilityRating.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/getFirstSelection.test.ts
@kaggle/components,src/community/search/views/SearchSortDropdown/SearchSortDropdown.test.tsx
@kaggle/components,src/community/search/models/SearchFilterGroup.test.ts
@kaggle/components,src/datasets/Uploaders/Flow/Flow.test.tsx,6.423
@kaggle/components,src/datasets/DataExplorerV3/Shared/CompetitionRulesAcceptance/CompetitionRulesAcceptance.test.tsx
@kaggle/components,src/community/search/views/SearchFilterList/SearchFilterCheckboxGroup.test.tsx,5.448
@kaggle/components,src/datasets/Checklist/Checklist.test.tsx
@kaggle/components,src/competitions/shared/Table/TableRow/TableRow.test.tsx
@kaggle/components,src/competitions/shared/Tooltip/Tooltip.test.tsx
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/canExpand.test.ts
@kaggle/components,src/datasets/Tasks/SubmissionModal/SearchResultList/SearchResultList.test.tsx
@kaggle/components,src/community/search/models/SearchResultItemDataset.test.ts
@kaggle/components,src/datasets/UsabilityRating/UsabilityRating.test.tsx
@kaggle/components,src/datasets/Uploaders/LocalDirectories/Shared/Breadcrumb/Breadcrumb.test.tsx
@kaggle/components,src/community/search/views/SearchGroup/SearchGroup.test.tsx
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/getDisplaySize.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Preview/PreviewControl/TableControl.test.tsx
@kaggle/components,src/datasets/DataExplorerV3/CompetitionExplorer/CompetitionExplorer.test.tsx,9.238
@kaggle/components,src/datasets/DataExplorerV3/Preview/TruncationMessage/TruncationMessage.test.tsx
@kaggle/components,src/community/KagglePro/View/View.test.tsx,10.87
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/Shared/MetricsChart/NumericMetricsChart/NumericMetricsChart.test.tsx
@kaggle/components,src/datasets/DatasetLandingPageMaterial/View/BrowseBody/BrowseBody.test.tsx
@kaggle/components,src/datasets/DataExplorerV3/DatasetExplorer/DatasetExplorer.test.tsx,8.785
@kaggle/components,src/datasets/DataExplorerV3/Tree/TreeItem/TreeItem.test.tsx
@kaggle/components,src/competitions/utils/timeRemaining/timeRemaining.test.ts
@kaggle/components,src/kernels/CaipExportModal/caipExportUrl.test.ts
@kaggle/components,src/competitions/context/providers/user/user.test.ts
@kaggle/components,src/datasets/Uploaders/Shared/StatusBar/StatusBar.test.tsx
@kaggle/components,src/competitions/context/providers/competition/competition.test.ts
@kaggle/components,src/community/search/views/SearchCategorySelector/SearchCategoryChip.test.tsx
@kaggle/components,src/datasets/Metadata/View/Utils/TextUtils.test.tsx
@kaggle/components,src/datasets/DataExplorerV3/Preview/DataSourcePreview/DataSourcePreview.test.tsx
@kaggle/components,src/datasets/Tasks/SidebarList/View/View.test.tsx,8.065
@kaggle/components,src/datasets/DataExplorerV3/Summary/GenericSummary.test.tsx,6.951
@kaggle/components,src/datasets/Uploaders/ContainerStore/reducers/gcs-fileset.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/Shared/ColumnQuery/ColumnManualRangeInput.test.tsx
